Symbol,Name,Volume(1d)
USDT,Tether USDt,62152136686
BTC,Bitcoin,29807102071
ETH,Ethereum,14633261413
USDC,USDC,9562841439
SOL,Solana,3010736979
XRP,XRP,3589622630
FDUSD,First Digital USD,2657683354
BNB,BNB,1569374479
SOL,Wrapped Solana,1152148558
SUI,Sui,1493016336
TRUMP,OFFICIAL TRUMP,1074236723
WETH,WETH,820112218
DOGE,Dogecoin,1046208766
ADA,Cardano,777941708
vBNB,Venus BNB,574424725
SIGN,Sign,561873184
VIRTUAL,Virtuals Protocol,349973412
TRX,TRON,483131789
LTC,Litecoin,467558846
PEPE,Pepe,518861548
BCH,Bitcoin Cash,281101165
ALPACA,Alpaca Finance,776117352
USDT.z,Tether USD Bridged ZED20,299210186
LINK,Chainlink,285945889
BONK,Bonk,295665910
INIT,Initia,303958367
PUNDIX,Pundi X (New),537511896
LAYER,Solayer,311744827
WLD,Worldcoin,244667249
WBNB,Wrapped BNB,284666591
AVAX,Avalanche,317139109
ETH.z,Ethereum Bridged ZED20,257166459
FARTCOIN,Fartcoin,226659513
SAFE,Safe,94795482
SHIB,Shiba Inu,179656664
PENGU,Pudgy Penguins,176109612
WBTC,Wrapped Bitcoin,216387716
PROMPT,Wayfinder,184094109
AAVE,Aave,190862221
CBBTC,Coinbase Wrapped BTC,177792819
MNT,Mantle,252330882
AI16Z,ai16z,145325704
DEEP,DeepBook Protocol,113815110
WIF,dogwifhat,179713151
DAI,Dai,200933966
HBAR,Hedera,188546440
NEAR,NEAR Protocol,148224583
ONDO,Ondo,189325902
UNI,Uniswap,144236289
FLOKI,FLOKI,179560669
RUNE,THORChain,114700572
XLM,Stellar,167360640
XMR,Monero,116365584
DOT,Polkadot,150773863
MOCA,Moca Network,49064439
ENA,Ethena,133328939
FET,Artificial Superintelligence Alliance,166195697
POPCAT,Popcat (SOL),118900525
HYPE,Hyperliquid,99755592
HAEDAL,Haedal Protocol,119488384
VOXEL,Voxies,133071533
ME,Magic Eden,66138524
AIXBT,aixbt,118645114
MOVE,Movement,108070939
BSW,Biswap,142022504
OM,MANTRA,185475864
ETC,Ethereum Classic,89366401
TAO,Bittensor,131726680
OP,Optimism,135867141
MEMEFI,MemeFi,77232270
ARB,Arbitrum,125403150
BABY,Babylon,113196178
TON,Toncoin,131221546
EOS,EOS,113404512
COOKIE,Cookie DAO,92877487
PI,Pi,80511411
POL,POL (prev. MATIC),106365258
CRV,Curve DAO Token,124573114
WAVAX,Wrapped AVAX,100577150
TURBO,Turbo,89148735
PNUT,Peanut the Squirrel,97286163
APT,Aptos,106432560
KMNO,Kamino Finance,106391104
AGLD,Adventure Gold,49719489
EURC,EURC,106811519
LDO,Lido DAO,81528323
GUSD,Gemini Dollar,110066588
JST,JUST,40471517
HIGH,Highstreet,29939192
vETH,Venus ETH,78579112
FIL,Filecoin,97337191
STX,Stacks,67731999
DRIFT,Drift,260328800
EPT,Balance,73585383
ARKM,Arkham,61471087
SEI,Sei,66596804
KAS,Kaspa,104302362
INJ,Injective,102321978
ENJ,Enjin Coin,17116183
SONIC,Sonic SVM,110958589
RENDER,Render,76298505
ATOM,Cosmos,86733839
S,Sonic (prev. FTM),97798177
TIA,Celestia,84373075
PUNDIAI,Pundi AI,64951324
CELO,Celo,86859418
WCT,WalletConnect Token,70842845
GOAT,Goatseus Maximus,41556784
USDe,Ethena USDe,72656951
BMT,Bubblemaps,115033603
ENS,Ethereum Name Service,55790688
ALGO,Algorand,82001506
RAY,Raydium,74407198
BSV,Bitcoin SV,60283667
SHELL,MyShell,41661984
ZETA,ZetaChain,87872122
ZEC,Zcash,63902700
BERA,Berachain,66314767
AERGO,Aergo,51478929
ARDR,Ardor,27882284
MKR,Maker,48734444
HOUSE,Housecoin,65324807
ICP,Internet Computer,67119372
NOT,Notcoin,64358863
CFX,Conflux,71556124
BGB,Bitget Token,81043243
MEW,cat in a dogs world,68902096
VET,VeChain,44043112
JUP,Jupiter,49547829
ZORA,ZORA,61804598
AKT,Akash Network,137919015
W,Wormhole,45390188
TOKEN,TokenFi,19368171
CSPR,Casper,44424271
ZEREBRO,Zerebro,52842233
TUSD,TrueUSD,49337838
PAXG,PAX Gold,59423728
CTK,Shentu,59594304
MAGIC,Treasure,109925183
THETA,Theta Network,32617392
